,AdjustmentPeriod,ShortSig,LongSig,TotalCap,Capital,NumOfStocks,Position,SR
0,20,10,20,119682.29091309999,58.014987099983415,582.0,119624.275926,0.016775301815283784
1,40,10,20,150298.6419859,48.90710289999697,731.0,150249.734883,0.019875230898310517
2,60,10,20,151278.5742565,1.1394084999984244,736.0,151277.434848,0.019625632057003264
3,80,10,20,148208.71161700002,14.376664000000133,721.0,148194.334953,0.019189995182525378
4,20,10,40,148468.50028744998,68.62534144999347,722.0,148399.874946,0.019526701530643696
5,40,10,40,171422.77334379999,2.419181799995741,834.0,171420.354162,0.020932105278242935
6,60,10,40,171833.22349415,1.7893461499969732,836.0,171831.434148,0.020647764034263612
7,80,10,40,177801.3538538,9.259908800000886,865.0,177792.093945,0.020873552692294215
8,20,30,40,165992.15704005,121.38268904998768,807.0,165870.774351,0.021803424097419984
9,40,30,40,182931.24288415,0.6491141500026458,890.0,182930.59377,0.022276592560158022
10,60,30,40,184209.66413430002,45.83040630001142,896.0,184163.833728,0.022213978008008308
11,80,30,40,186872.793336,36.93969899998993,909.0,186835.85363700002,0.02232953271244038
12,20,10,60,185854.7890444,46.6353723999963,904.0,185808.15367200001,0.024500160497014638
13,40,10,60,193108.97660295002,106.92317594999986,939.0,193002.053427,0.02351673020550979
14,60,10,60,197182.73663690002,69.88334990000405,959.0,197112.853287,0.024279224687406512
15,80,10,60,198565.26661405,13.633376049980072,966.0,198551.633238,0.02412327329525129
16,20,30,60,179746.919214,104.9653320000034,874.0,179641.953882,0.023601143131003283
17,40,30,60,194288.2519977,52.95861269998204,945.0,194235.293385,0.02457668525621824
18,60,30,60,194713.80559425,67.43222324999093,947.0,194646.37337100002,0.024521618461157642
19,80,30,60,199168.61841835,0.3652013499867621,969.0,199168.25321700002,0.024392657036107164
20,20,50,60,205604.7838519,64.79085189998227,1000.0,205539.99300000002,0.025941871597243073
21,40,50,60,210191.07652909998,129.20368309997957,1022.0,210061.872846,0.025192020582518286
22,60,50,60,211923.04370034998,11.310917349971277,1031.0,211911.732783,0.02550688218927053
23,80,50,60,210318.50322515,51.09038614998474,1023.0,210267.412839,0.02509130332785154
24,20,10,80,174894.97854875002,185.9844987500037,850.0,174708.99405,0.021279861378509037
25,40,10,80,180514.04012055,49.926266550000946,878.0,180464.113854,0.022655634295061577
26,60,10,80,193210.79980915002,3.20638914999617,940.0,193207.59342000002,0.023518864480170692
27,80,10,80,195271.91149945,8.918149449997614,950.0,195262.99335,0.0235736819538888
28,20,30,80,214270.3864821,97.71377609998581,1042.0,214172.672706,0.025515777833045723
29,40,30,80,216786.25933085,147.10670884998763,1054.0,216639.15262200002,0.02607518282840845
30,60,30,80,216293.11922,65.04658399999263,1052.0,216228.072636,0.025891653500468025
31,80,30,80,213595.8211828,39.768455799991784,1039.0,213556.052727,0.025445319380920293
32,20,50,80,202147.21258279998,101.39946379997173,983.0,202045.813119,0.024524877161285104
